,Time,Value,Factor,Baseline,Mass
0,2023-01-16 16:27:57.346301,-763681,1,0,-763681
1,2023-01-16 16:27:57.541991,-763666,1,0,-763666
2,2023-01-16 16:27:57.741456,-763654,1,0,-763654
3,2023-01-16 16:27:57.945770,-763627,1,0,-763627
4,2023-01-16 16:27:58.148091,-763653,1,0,-763653
5,2023-01-16 16:27:58.346450,-763733,1,0,-763733
6,2023-01-16 16:27:58.548579,-763670,1,0,-763670
7,2023-01-16 16:27:58.746702,-763728,1,0,-763728
8,2023-01-16 16:27:58.947544,-763696,1,0,-763696
9,2023-01-16 16:27:59.150284,-763656,1,0,-763656
10,2023-01-16 16:27:59.349549,-763681,1,0,-763681
11,2023-01-16 16:27:59.546566,-763683,1,0,-763683
12,2023-01-16 16:27:59.749252,-763653,1,0,-763653
13,2023-01-16 16:27:59.948593,-763718,1,0,-763718
14,2023-01-16 16:28:00.149982,-763701,1,0,-763701
15,2023-01-16 16:28:00.351674,-763711,1,0,-763711
16,2023-01-16 16:28:00.549415,-763686,1,0,-763686
17,2023-01-16 16:28:00.752755,-763671,1,0,-763671
18,2023-01-16 16:28:00.953921,-763715,1,0,-763715
19,2023-01-16 16:28:01.145507,-763693,1,0,-763693
20,2023-01-16 16:28:01.347969,-763683,1,0,-763683
21,2023-01-16 16:28:01.552867,-763731,1,0,-763731
22,2023-01-16 16:28:01.753734,-763702,1,0,-763702
23,2023-01-16 16:28:01.953662,-763678,1,0,-763678
24,2023-01-16 16:28:02.155428,-763724,1,0,-763724
25,2023-01-16 16:28:02.355211,-763682,1,0,-763682
26,2023-01-16 16:28:02.553788,-763686,1,0,-763686
27,2023-01-16 16:28:02.754790,-763708,1,0,-763708
28,2023-01-16 16:28:02.951463,-763709,1,0,-763709
29,2023-01-16 16:28:03.155159,-763684,1,0,-763684
30,2023-01-16 16:28:03.354502,-763703,1,0,-763703
31,2023-01-16 16:28:03.551920,-763670,1,0,-763670
32,2023-01-16 16:28:03.758732,-763662,1,0,-763662
33,2023-01-16 16:28:03.959097,-763665,1,0,-763665
34,2023-01-16 16:28:04.180027,-763677,1,0,-763677
35,2023-01-16 16:28:04.353426,-763730,1,0,-763730
36,2023-01-16 16:28:04.554585,-763713,1,0,-763713
37,2023-01-16 16:28:04.754096,-763721,1,0,-763721
38,2023-01-16 16:28:04.956751,-763767,1,0,-763767
39,2023-01-16 16:28:05.154780,-763711,1,0,-763711
40,2023-01-16 16:28:05.361726,-763743,1,0,-763743
41,2023-01-16 16:28:05.554479,-763719,1,0,-763719
42,2023-01-16 16:28:05.760239,-763671,1,0,-763671
43,2023-01-16 16:28:05.957982,-763695,1,0,-763695
44,2023-01-16 16:28:06.163351,-763676,1,0,-763676
45,2023-01-16 16:28:06.363529,-763709,1,0,-763709
46,2023-01-16 16:28:06.562402,-763710,1,0,-763710
47,2023-01-16 16:28:06.761730,-763690,1,0,-763690
48,2023-01-16 16:28:06.984047,-763712,1,0,-763712
49,2023-01-16 16:28:07.163585,-763697,1,0,-763697
50,2023-01-16 16:28:07.364716,-763708,1,0,-763708
51,2023-01-16 16:28:07.563854,-763648,1,0,-763648
52,2023-01-16 16:28:07.762918,-763663,1,0,-763663
53,2023-01-16 16:28:07.962637,-763702,1,0,-763702
54,2023-01-16 16:28:08.164314,-763681,1,0,-763681
55,2023-01-16 16:28:08.367704,-763660,1,0,-763660
56,2023-01-16 16:28:08.567022,-763679,1,0,-763679
57,2023-01-16 16:28:08.765789,-763719,1,0,-763719
58,2023-01-16 16:28:08.963349,-763764,1,0,-763764
59,2023-01-16 16:28:09.162367,-763721,1,0,-763721
60,2023-01-16 16:28:09.369651,-763738,1,0,-763738
61,2023-01-16 16:28:09.570368,-763710,1,0,-763710
62,2023-01-16 16:28:09.769942,-763691,1,0,-763691
63,2023-01-16 16:28:09.970132,-763729,1,0,-763729
64,2023-01-16 16:28:10.165926,-763723,1,0,-763723
65,2023-01-16 16:28:10.364019,-763646,1,0,-763646
66,2023-01-16 16:28:10.571467,-763684,1,0,-763684
67,2023-01-16 16:28:10.769241,-763712,1,0,-763712
68,2023-01-16 16:28:10.961088,-763674,1,0,-763674
69,2023-01-16 16:28:11.161878,-763671,1,0,-763671
70,2023-01-16 16:28:11.366906,-763676,1,0,-763676
71,2023-01-16 16:28:11.572563,-763660,1,0,-763660
72,2023-01-16 16:28:11.768180,-763667,1,0,-763667
73,2023-01-16 16:28:11.962790,-763655,1,0,-763655
74,2023-01-16 16:28:12.169019,-763654,1,0,-763654
75,2023-01-16 16:28:12.370997,-763657,1,0,-763657
76,2023-01-16 16:28:12.576079,-763693,1,0,-763693
77,2023-01-16 16:28:12.773746,-763677,1,0,-763677
78,2023-01-16 16:28:12.970840,-763749,1,0,-763749
79,2023-01-16 16:28:13.171435,-763699,1,0,-763699
80,2023-01-16 16:28:13.369184,-763709,1,0,-763709
81,2023-01-16 16:28:13.570630,-763712,1,0,-763712
82,2023-01-16 16:28:13.777610,-763667,1,0,-763667
83,2023-01-16 16:28:13.976638,-763626,1,0,-763626
84,2023-01-16 16:28:14.177679,-763714,1,0,-763714
85,2023-01-16 16:28:14.368890,-763668,1,0,-763668
86,2023-01-16 16:28:14.573226,-763675,1,0,-763675
87,2023-01-16 16:28:14.773454,-763686,1,0,-763686
88,2023-01-16 16:28:14.979759,-763699,1,0,-763699
89,2023-01-16 16:28:15.178614,-763725,1,0,-763725
90,2023-01-16 16:28:15.370588,-763694,1,0,-763694
91,2023-01-16 16:28:15.581081,-763710,1,0,-763710
92,2023-01-16 16:28:15.766671,-763691,1,0,-763691
93,2023-01-16 16:28:15.977548,-763734,1,0,-763734
94,2023-01-16 16:28:16.169779,-763677,1,0,-763677
95,2023-01-16 16:28:16.380459,-763746,1,0,-763746
96,2023-01-16 16:28:16.579893,-763621,1,0,-763621
97,2023-01-16 16:28:16.783341,-763672,1,0,-763672
98,2023-01-16 16:28:16.975493,-763684,1,0,-763684
99,2023-01-16 16:28:17.175767,-763732,1,0,-763732
100,2023-01-16 16:28:17.370813,-763635,1,0,-763635
101,2023-01-16 16:28:17.584742,-763699,1,0,-763699
102,2023-01-16 16:28:17.770588,-763675,1,0,-763675
103,2023-01-16 16:28:17.973383,-763678,1,0,-763678
104,2023-01-16 16:28:18.171376,-763681,1,0,-763681
105,2023-01-16 16:28:18.383865,-763655,1,0,-763655
106,2023-01-16 16:28:18.580141,-763685,1,0,-763685
107,2023-01-16 16:28:18.781199,-763673,1,0,-763673
108,2023-01-16 16:28:18.986823,-763633,1,0,-763633
109,2023-01-16 16:28:19.188029,-763808,1,0,-763808
110,2023-01-16 16:28:19.386702,-763635,1,0,-763635
111,2023-01-16 16:28:19.587086,-763657,1,0,-763657
112,2023-01-16 16:28:19.781781,-763695,1,0,-763695
113,2023-01-16 16:28:19.988900,-763673,1,0,-763673
114,2023-01-16 16:28:20.187546,-763660,1,0,-763660
115,2023-01-16 16:28:20.388749,-763688,1,0,-763688
116,2023-01-16 16:28:20.589825,-763690,1,0,-763690
117,2023-01-16 16:28:20.787959,-763719,1,0,-763719
118,2023-01-16 16:28:20.988428,-763680,1,0,-763680
119,2023-01-16 16:28:21.187554,-763718,1,0,-763718
120,2023-01-16 16:28:21.389849,-763656,1,0,-763656
121,2023-01-16 16:28:21.589888,-763704,1,0,-763704
122,2023-01-16 16:28:21.788583,-763682,1,0,-763682
123,2023-01-16 16:28:21.987140,-763692,1,0,-763692
124,2023-01-16 16:28:22.188663,-763668,1,0,-763668
125,2023-01-16 16:28:22.390913,-763722,1,0,-763722
