,Time,Value
0,2023-01-18 13:05:01.930429,-112399.62309646138
1,2023-01-18 13:05:02.135955,-112404.39876862554
2,2023-01-18 13:05:02.339771,-112400.81701450242
3,2023-01-18 13:05:02.542893,-112394.84742429723
4,2023-01-18 13:05:02.731120,-112403.50333009475
5,2023-01-18 13:05:02.934963,-112396.63830135879
6,2023-01-18 13:05:03.145274,-112399.47385670626
7,2023-01-18 13:05:03.344588,-112378.58029098809
8,2023-01-18 13:05:03.532905,-112399.02613744087
9,2023-01-18 13:05:03.737399,-112394.54894478698
10,2023-01-18 13:05:03.941177,-112407.38356372813
11,2023-01-18 13:05:04.132283,-112399.62309646138
12,2023-01-18 13:05:04.346597,-112404.99572764606
13,2023-01-18 13:05:04.536640,-112402.90637107423
14,2023-01-18 13:05:04.740601,-112399.47385670626
15,2023-01-18 13:05:04.943709,-112398.7276579306
16,2023-01-18 13:05:05.136463,-112400.6677747473
17,2023-01-18 13:05:05.341527,-112395.89210258314
18,2023-01-18 13:05:05.547345,-112407.6820432384
19,2023-01-18 13:05:05.736815,-112403.2048505845
20,2023-01-18 13:05:05.943957,-112400.2200554819
21,2023-01-18 13:05:06.140874,-112399.62309646138
22,2023-01-18 13:05:06.345756,-112408.87596127942
23,2023-01-18 13:05:06.544329,-112402.45865180885
24,2023-01-18 13:05:06.738511,-112397.98145915495
25,2023-01-18 13:05:06.942975,-112397.98145915495
26,2023-01-18 13:05:07.149432,-112400.51853499217
27,2023-01-18 13:05:07.353244,-112403.80180960502
28,2023-01-18 13:05:07.538906,-112399.62309646138
29,2023-01-18 13:05:07.749569,-112406.93584446274
30,2023-01-18 13:05:07.949804,-112405.29420715632
31,2023-01-18 13:05:08.145309,-112404.10028911527
32,2023-01-18 13:05:08.340735,-112401.86169278833
33,2023-01-18 13:05:08.548167,-112403.95104936014
34,2023-01-18 13:05:08.752712,-112402.90637107423
35,2023-01-18 13:05:08.953864,-112403.35409033964
36,2023-01-18 13:05:09.143345,-112398.7276579306
37,2023-01-18 13:05:09.356600,-112397.53373988956
38,2023-01-18 13:05:09.550726,-112396.33982184854
39,2023-01-18 13:05:09.741928,-112404.10028911527
40,2023-01-18 13:05:09.947334,-112401.86169278833
41,2023-01-18 13:05:10.144697,-112398.87689768574
42,2023-01-18 13:05:10.347874,-112397.53373988956
43,2023-01-18 13:05:10.551624,-112403.05561082937
44,2023-01-18 13:05:10.754651,-112402.60789156398
45,2023-01-18 13:05:10.958735,-112395.89210258314
46,2023-01-18 13:05:11.154182,-112401.2647337678
47,2023-01-18 13:05:11.358730,-112401.2647337678
48,2023-01-18 13:05:11.547041,-112403.05561082937
49,2023-01-18 13:05:11.752399,-112396.63830135879
50,2023-01-18 13:05:11.961050,-112394.54894478698
51,2023-01-18 13:05:12.161758,-112405.59268666657
52,2023-01-18 13:05:12.361545,-112401.41397352294
53,2023-01-18 13:05:12.549079,-112394.69818454211
54,2023-01-18 13:05:12.754072,-112391.26567017412
55,2023-01-18 13:05:12.958929,-112401.86169278833
56,2023-01-18 13:05:13.163716,-112401.41397352294
57,2023-01-18 13:05:13.349567,-112401.11549401269
58,2023-01-18 13:05:13.553478,-112397.83221939983
59,2023-01-18 13:05:13.759593,-112394.84742429723
60,2023-01-18 13:05:13.964623,-112408.42824201404
61,2023-01-18 13:05:14.164184,-112400.6677747473
62,2023-01-18 13:05:14.353400,-112396.93678086904
63,2023-01-18 13:05:14.553606,-112403.65256984989
64,2023-01-18 13:05:14.758445,-112394.84742429723
65,2023-01-18 13:05:14.967080,-112398.42917842035
66,2023-01-18 13:05:15.167157,-112399.92157597165
67,2023-01-18 13:05:15.367660,-112400.36929523703
68,2023-01-18 13:05:15.568364,-112403.50333009475
69,2023-01-18 13:05:15.757158,-112397.23526037931
70,2023-01-18 13:05:15.957605,-112415.59175026027
71,2023-01-18 13:05:16.168206,-112394.84742429723
72,2023-01-18 13:05:16.357624,-112399.47385670626
73,2023-01-18 13:05:16.561117,-112396.04134233827
74,2023-01-18 13:05:16.770262,-112397.38450013445
75,2023-01-18 13:05:16.959026,-112404.24952887041
76,2023-01-18 13:05:17.164628,-112397.08602062418
77,2023-01-18 13:05:17.371955,-112401.2647337678
78,2023-01-18 13:05:17.567073,-112406.93584446274
79,2023-01-18 13:05:17.771552,-112406.33888544222
80,2023-01-18 13:05:17.960691,-112406.48812519736
81,2023-01-18 13:05:18.165213,-112403.05561082937
82,2023-01-18 13:05:18.364848,-112401.71245303321
83,2023-01-18 13:05:18.567223,-112398.57841817547
84,2023-01-18 13:05:18.770891,-112402.1601722986
85,2023-01-18 13:05:18.975462,-112406.78660470761
86,2023-01-18 13:05:19.170503,-112407.83128299352
87,2023-01-18 13:05:19.375506,-112404.84648789093
88,2023-01-18 13:05:19.564121,-112403.80180960502
89,2023-01-18 13:05:19.767763,-112399.32461695113
90,2023-01-18 13:05:19.973182,-112397.6829796447
91,2023-01-18 13:05:20.167033,-112401.56321327807
92,2023-01-18 13:05:20.370932,-112400.6677747473
93,2023-01-18 13:05:20.567284,-112386.63923776509
94,2023-01-18 13:05:20.771453,-112405.7419264217
95,2023-01-18 13:05:20.977025,-112421.85981997573
96,2023-01-18 13:05:21.169328,-112399.02613744087
97,2023-01-18 13:05:21.372758,-112389.92251237795
98,2023-01-18 13:05:21.579136,-112398.87689768574
99,2023-01-18 13:05:21.768157,-112397.38450013445
100,2023-01-18 13:05:21.980144,-112402.75713131911
101,2023-01-18 13:05:22.170305,-112400.6677747473
102,2023-01-18 13:05:22.374353,-112403.2048505845
103,2023-01-18 13:05:22.578878,-112403.95104936014
104,2023-01-18 13:05:22.781646,-112401.2647337678
105,2023-01-18 13:05:22.974170,-112400.2200554819
106,2023-01-18 13:05:23.178665,-112391.56414968437
107,2023-01-18 13:05:23.371541,-112398.27993866522
108,2023-01-18 13:05:23.575891,-112403.80180960502
109,2023-01-18 13:05:23.779243,-112399.77233621651
110,2023-01-18 13:05:23.976666,-112396.33982184854
111,2023-01-18 13:05:24.181373,-112372.16298151751
112,2023-01-18 13:05:24.384791,-112355.14964943271
113,2023-01-18 13:05:24.572470,-112357.23900600453
114,2023-01-18 13:05:24.776763,-112359.47760233148
115,2023-01-18 13:05:24.981815,-112346.94146290058
116,2023-01-18 13:05:25.175361,-112348.88157971727
117,2023-01-18 13:05:25.378486,-112352.46333384038
118,2023-01-18 13:05:25.576086,-112357.83596502505
119,2023-01-18 13:05:25.779626,-112349.0308194724
120,2023-01-18 13:05:25.973932,-112352.31409408526
121,2023-01-18 13:05:26.180381,-112352.76181335065
122,2023-01-18 13:05:26.384291,-112357.5374855148
123,2023-01-18 13:05:26.589356,-112350.97093628909
124,2023-01-18 13:05:26.777970,-112355.59736869812
125,2023-01-18 13:05:26.982328,-112351.86637481986
126,2023-01-18 13:05:27.185896,-112355.0004096776
127,2023-01-18 13:05:27.390365,-112351.71713506474
128,2023-01-18 13:05:27.579131,-112350.67245677883
129,2023-01-18 13:05:27.783590,-112345.0013460839
130,2023-01-18 13:05:27.987023,-112347.9861411865
131,2023-01-18 13:05:28.192254,-112346.19526412494
132,2023-01-18 13:05:28.380607,-112345.74754485955
133,2023-01-18 13:05:28.583702,-112356.94052649428
134,2023-01-18 13:05:28.791643,-112357.68672526993
135,2023-01-18 13:05:28.981708,-112355.29888918785
136,2023-01-18 13:05:29.186602,-112353.65725188142
137,2023-01-18 13:05:29.390934,-112355.0004096776
138,2023-01-18 13:05:29.594973,-112359.62684208661
139,2023-01-18 13:05:29.783729,-112354.70193016733
140,2023-01-18 13:05:29.987157,-112352.61257359551
141,2023-01-18 13:05:30.181296,-112358.73140355584
142,2023-01-18 13:05:30.386468,-112350.07549775831
143,2023-01-18 13:05:30.589691,-112352.76181335065
144,2023-01-18 13:05:30.796111,-112357.83596502505
145,2023-01-18 13:05:30.984061,-112353.95573139169
146,2023-01-18 13:05:31.188105,-112353.0602928609
147,2023-01-18 13:05:31.391522,-112347.09070265571
148,2023-01-18 13:05:31.598105,-112352.16485433013
149,2023-01-18 13:05:31.786902,-112355.0004096776
150,2023-01-18 13:05:31.991233,-112346.0460243698
151,2023-01-18 13:05:32.195095,-112358.43292404557
152,2023-01-18 13:05:32.399297,-112351.41865555447
153,2023-01-18 13:05:32.587436,-112353.50801212629
154,2023-01-18 13:05:32.791254,-112355.89584820837
155,2023-01-18 13:05:33.000908,-112347.09070265571
156,2023-01-18 13:05:33.191908,-112363.50707571999
157,2023-01-18 13:05:33.395658,-112357.68672526993
158,2023-01-18 13:05:33.599545,-112357.08976624941
159,2023-01-18 13:05:33.788093,-112354.10497114681
160,2023-01-18 13:05:33.992501,-112351.26941579934
161,2023-01-18 13:05:34.193669,-112355.44812894298
162,2023-01-18 13:05:34.398335,-112354.25421090194
163,2023-01-18 13:05:34.602287,-112337.68859808253
164,2023-01-18 13:05:34.789826,-112350.82169653395
165,2023-01-18 13:05:34.994686,-112356.34356747376
166,2023-01-18 13:05:35.205495,-112349.62777849293
167,2023-01-18 13:05:35.393776,-112354.10497114681
168,2023-01-18 13:05:35.600133,-112356.94052649428
169,2023-01-18 13:05:35.804687,-112356.64204698402
170,2023-01-18 13:05:35.992539,-112350.37397726857
171,2023-01-18 13:05:36.197131,-112351.12017604422
172,2023-01-18 13:05:36.400907,-112349.47853873779
173,2023-01-18 13:05:36.606576,-112349.0308194724
174,2023-01-18 13:05:36.794044,-112352.015614575
175,2023-01-18 13:05:36.997285,-112345.74754485955
176,2023-01-18 13:05:37.202613,-112351.12017604422
177,2023-01-18 13:05:37.407974,-112344.55362681851
178,2023-01-18 13:05:37.598028,-112354.85116992246
179,2023-01-18 13:05:37.808424,-112354.10497114681
180,2023-01-18 13:05:37.997952,-112349.92625800318
181,2023-01-18 13:05:38.205822,-112347.23994241084
182,2023-01-18 13:05:38.411692,-112345.15058583903
183,2023-01-18 13:05:38.599163,-112352.16485433013
184,2023-01-18 13:05:38.803084,-112350.07549775831
185,2023-01-18 13:05:39.007716,-112352.76181335065
186,2023-01-18 13:05:39.211917,-112352.61257359551
187,2023-01-18 13:05:39.402920,-112351.71713506474
188,2023-01-18 13:05:39.606079,-112352.31409408526
189,2023-01-18 13:05:39.810066,-112356.34356747376
190,2023-01-18 13:05:40.014127,-112352.91105310577
191,2023-01-18 13:05:40.201463,-112350.67245677883
192,2023-01-18 13:05:40.405483,-112355.29888918785
193,2023-01-18 13:05:40.615806,-112356.34356747376
194,2023-01-18 13:05:40.803755,-112353.80649163655
195,2023-01-18 13:05:41.007839,-112349.92625800318
196,2023-01-18 13:05:41.202642,-112356.19432771862
197,2023-01-18 13:05:41.407577,-112351.5678953096
198,2023-01-18 13:05:41.611495,-112352.91105310577
199,2023-01-18 13:05:41.814839,-112353.80649163655
200,2023-01-18 13:05:42.019017,-112359.47760233148
201,2023-01-18 13:05:42.215396,-112358.28368429045
202,2023-01-18 13:05:42.404244,-112348.73233996214
203,2023-01-18 13:05:42.607329,-112356.94052649428
204,2023-01-18 13:05:42.810692,-112355.59736869812
205,2023-01-18 13:05:43.014670,-112349.18005922752
206,2023-01-18 13:05:43.217750,-112351.86637481986
207,2023-01-18 13:05:43.406577,-112355.89584820837
208,2023-01-18 13:05:43.609717,-112349.0308194724
209,2023-01-18 13:05:43.814421,-112348.73233996214
210,2023-01-18 13:05:44.017543,-112354.5526904122
211,2023-01-18 13:05:44.220937,-112350.07549775831
212,2023-01-18 13:05:44.411810,-112345.59830510442
213,2023-01-18 13:05:44.616081,-112349.32929898266
214,2023-01-18 13:05:44.821312,-112359.02988306609
215,2023-01-18 13:05:45.023486,-112357.68672526993
216,2023-01-18 13:05:45.215612,-112353.80649163655
217,2023-01-18 13:05:45.419515,-112349.0308194724
218,2023-01-18 13:05:45.622730,-112349.77701824805
219,2023-01-18 13:05:45.811676,-112347.38918216598
220,2023-01-18 13:05:46.016476,-112350.67245677883
221,2023-01-18 13:05:46.222956,-112357.38824575966
222,2023-01-18 13:05:46.426916,-112357.38824575966
223,2023-01-18 13:05:46.615802,-112347.83690143136
224,2023-01-18 13:05:46.819581,-112348.28462069675
225,2023-01-18 13:05:47.021570,-112351.71713506474
226,2023-01-18 13:05:47.226338,-112351.71713506474
227,2023-01-18 13:05:47.417220,-112353.95573139169
228,2023-01-18 13:05:47.620776,-112352.46333384038
229,2023-01-18 13:05:47.824300,-112353.50801212629
230,2023-01-18 13:05:48.015718,-112354.85116992246
231,2023-01-18 13:05:48.220858,-112346.94146290058
232,2023-01-18 13:05:48.427235,-112352.46333384038
233,2023-01-18 13:05:48.616791,-112351.5678953096
234,2023-01-18 13:05:48.819761,-112358.88064331096
235,2023-01-18 13:05:49.017654,-112359.92532159688
236,2023-01-18 13:05:49.225441,-112335.0022824902
237,2023-01-18 13:05:49.419220,-112357.23900600453
238,2023-01-18 13:05:49.617722,-112340.22567391975
239,2023-01-18 13:05:49.821993,-112355.14964943271
240,2023-01-18 13:05:50.028831,-112346.94146290058
241,2023-01-18 13:05:50.223613,-112353.0602928609
242,2023-01-18 13:05:50.427003,-112350.07549775831
243,2023-01-18 13:05:50.631336,-112344.25514730824
244,2023-01-18 13:05:50.821599,-112354.25421090194
245,2023-01-18 13:05:51.026327,-112359.62684208661
246,2023-01-18 13:05:51.230997,-112359.77608184174
247,2023-01-18 13:05:51.434536,-112346.94146290058
248,2023-01-18 13:05:51.632201,-112355.74660845324
249,2023-01-18 13:05:51.835166,-112351.41865555447
250,2023-01-18 13:05:52.024389,-112349.62777849293
251,2023-01-18 13:05:52.228852,-112351.41865555447
252,2023-01-18 13:05:52.433508,-112354.5526904122
253,2023-01-18 13:05:52.638284,-112350.67245677883
254,2023-01-18 13:05:52.824055,-112352.46333384038
255,2023-01-18 13:05:53.027311,-112355.29888918785
256,2023-01-18 13:05:53.231374,-112353.50801212629
257,2023-01-18 13:05:53.436552,-112351.41865555447
258,2023-01-18 13:05:53.639676,-112352.76181335065
259,2023-01-18 13:05:53.828504,-112355.0004096776
260,2023-01-18 13:05:54.032106,-112357.98520478018
261,2023-01-18 13:05:54.236038,-112355.74660845324
262,2023-01-18 13:05:54.440005,-112353.35877237117
263,2023-01-18 13:05:54.641657,-112357.68672526993
264,2023-01-18 13:05:54.835630,-112344.85210632876
265,2023-01-18 13:05:55.031050,-112338.58403661332
266,2023-01-18 13:05:55.235386,-112365.74567204693
267,2023-01-18 13:05:55.429477,-112361.71619865843
268,2023-01-18 13:05:55.629359,-112347.68766167623
269,2023-01-18 13:05:55.833014,-112350.22473751343
270,2023-01-18 13:05:56.035024,-112356.49280722889
271,2023-01-18 13:05:56.245349,-112357.5374855148
272,2023-01-18 13:05:56.441270,-112360.37304086227
273,2023-01-18 13:05:56.644411,-112356.64204698402
274,2023-01-18 13:05:56.832690,-112355.29888918785
275,2023-01-18 13:05:57.046212,-112352.61257359551
276,2023-01-18 13:05:57.234816,-112351.5678953096
277,2023-01-18 13:05:57.439404,-112354.70193016733
278,2023-01-18 13:05:57.642720,-112357.38824575966
279,2023-01-18 13:05:57.847042,-112352.46333384038
280,2023-01-18 13:05:58.048463,-112362.61163718921
281,2023-01-18 13:05:58.245670,-112330.37585008118
282,2023-01-18 13:05:58.448773,-112309.03456509762
283,2023-01-18 13:05:58.637012,-112316.49655285412
284,2023-01-18 13:05:58.840659,-112310.67620240405
285,2023-01-18 13:05:59.045523,-112315.8995938336
286,2023-01-18 13:05:59.248949,-112309.18380485276
287,2023-01-18 13:05:59.437873,-112306.49748926042
288,2023-01-18 13:05:59.641952,-112309.48228436301
289,2023-01-18 13:05:59.846134,-112311.4224011797
290,2023-01-18 13:06:00.047870,-112306.04976999504
291,2023-01-18 13:06:00.245360,-112302.61725562705
292,2023-01-18 13:06:00.449434,-112302.61725562705
293,2023-01-18 13:06:00.639086,-112293.51363056414
294,2023-01-18 13:06:00.843783,-112310.82544215918
295,2023-01-18 13:06:01.047839,-112300.08017978985
296,2023-01-18 13:06:01.439274,-112294.70754860518
297,2023-01-18 13:06:01.640976,-112291.27503423719
298,2023-01-18 13:06:01.843137,-112303.3634544027
299,2023-01-18 13:06:02.048413,-112303.81117366809
300,2023-01-18 13:06:02.252490,-112298.73702199367
301,2023-01-18 13:06:02.452642,-112301.27409783089
302,2023-01-18 13:06:02.656626,-112302.02029660653
303,2023-01-18 13:06:02.844535,-112297.24462444238
304,2023-01-18 13:06:03.049236,-112298.58778223854
305,2023-01-18 13:06:03.243311,-112300.97561832062
306,2023-01-18 13:06:03.447131,-112295.60298713595
307,2023-01-18 13:06:03.650793,-112299.78170027958
308,2023-01-18 13:06:03.854155,-112297.8415834629
309,2023-01-18 13:06:04.057939,-112304.25889293347
310,2023-01-18 13:06:04.245713,-112303.66193391295
311,2023-01-18 13:06:04.450787,-112306.64672901556
312,2023-01-18 13:06:04.654421,-112306.04976999504
313,2023-01-18 13:06:04.854453,-112299.03550150394
314,2023-01-18 13:06:05.058462,-112306.34824950529
315,2023-01-18 13:06:05.251471,-112303.81117366809
316,2023-01-18 13:06:05.456074,-112300.97561832062
317,2023-01-18 13:06:05.651477,-112303.66193391295
318,2023-01-18 13:06:05.855650,-112305.00509170913
319,2023-01-18 13:06:06.057553,-112302.02029660653
320,2023-01-18 13:06:06.262719,-112295.9014666462
321,2023-01-18 13:06:06.463617,-112301.27409783089
322,2023-01-18 13:06:06.661863,-112302.91573513731
323,2023-01-18 13:06:06.852459,-112293.96134982952
324,2023-01-18 13:06:07.061478,-112298.58778223854
325,2023-01-18 13:06:07.256968,-112296.49842566672
326,2023-01-18 13:06:07.463479,-112299.48322076933
327,2023-01-18 13:06:07.665299,-112300.22941954496
328,2023-01-18 13:06:07.865750,-112296.3491859116
329,2023-01-18 13:06:08.064650,-112301.87105685139
330,2023-01-18 13:06:08.251429,-112296.94614493212
331,2023-01-18 13:06:08.456914,-112303.21421464757
332,2023-01-18 13:06:08.668450,-112299.33398101419
333,2023-01-18 13:06:08.857179,-112297.54310395263
334,2023-01-18 13:06:09.067568,-112299.18474125906
335,2023-01-18 13:06:09.268228,-112310.67620240405
336,2023-01-18 13:06:09.468469,-112305.9005302399
337,2023-01-18 13:06:09.668143,-112296.64766542186
338,2023-01-18 13:06:09.867030,-112301.27409783089
339,2023-01-18 13:06:10.067574,-112304.40813268861
340,2023-01-18 13:06:10.266040,-112311.57164093484
341,2023-01-18 13:06:10.470992,-112304.55737244373
342,2023-01-18 13:06:10.671020,-112304.25889293347
343,2023-01-18 13:06:10.862870,-112298.28930272828
344,2023-01-18 13:06:11.070156,-112301.423337586
345,2023-01-18 13:06:11.272774,-112301.12485807575
346,2023-01-18 13:06:11.458790,-112301.12485807575
347,2023-01-18 13:06:11.673041,-112300.67713881037
348,2023-01-18 13:06:11.873436,-112307.09444828094
349,2023-01-18 13:06:12.073278,-112305.75129048477
350,2023-01-18 13:06:12.274577,-112297.09538468724
351,2023-01-18 13:06:12.467741,-112308.8853253425
352,2023-01-18 13:06:12.674834,-112305.00509170913
353,2023-01-18 13:06:12.875832,-112303.3634544027
354,2023-01-18 13:06:13.075507,-112304.40813268861
355,2023-01-18 13:06:13.275409,-112299.48322076933
356,2023-01-18 13:06:13.476495,-112303.66193391295
357,2023-01-18 13:06:13.676520,-112295.75222689108
358,2023-01-18 13:06:13.877488,-112303.51269415782
359,2023-01-18 13:06:14.077755,-112299.18474125906
360,2023-01-18 13:06:14.278490,-112300.3786593001
361,2023-01-18 13:06:14.477440,-112298.58778223854
362,2023-01-18 13:06:14.678413,-112298.58778223854
363,2023-01-18 13:06:14.866011,-112300.52789905523
364,2023-01-18 13:06:15.073039,-112305.60205072965
365,2023-01-18 13:06:15.279261,-112299.63246052446
366,2023-01-18 13:06:15.480493,-112302.3187761168
367,2023-01-18 13:06:15.680510,-112309.18380485276
368,2023-01-18 13:06:15.880769,-112299.48322076933
369,2023-01-18 13:06:16.081606,-112301.12485807575
370,2023-01-18 13:06:16.277459,-112298.43854248342
371,2023-01-18 13:06:16.481559,-112305.60205072965
372,2023-01-18 13:06:16.679061,-112309.63152411814
373,2023-01-18 13:06:16.882969,-112313.36251799639
374,2023-01-18 13:06:17.082911,-112304.40813268861
375,2023-01-18 13:06:17.283406,-112302.02029660653
376,2023-01-18 13:06:17.483878,-112302.16953636166
377,2023-01-18 13:06:17.684696,-112303.51269415782
378,2023-01-18 13:06:17.884793,-112303.96041342322
379,2023-01-18 13:06:18.084662,-112303.06497489243
380,2023-01-18 13:06:18.285153,-112308.58684583224
381,2023-01-18 13:06:18.486106,-112310.67620240405
382,2023-01-18 13:06:18.686093,-112303.06497489243
383,2023-01-18 13:06:18.886132,-112301.423337586
384,2023-01-18 13:06:19.086490,-112308.73608558737
385,2023-01-18 13:06:19.277273,-112299.03550150394
386,2023-01-18 13:06:19.479836,-112305.30357121938
387,2023-01-18 13:06:19.687886,-112300.67713881037
388,2023-01-18 13:06:19.888476,-112300.82637856549
389,2023-01-18 13:06:20.088441,-112300.52789905523
390,2023-01-18 13:06:20.288711,-112305.9005302399
391,2023-01-18 13:06:20.480890,-112304.55737244373
392,2023-01-18 13:06:20.684990,-112306.94520852581
393,2023-01-18 13:06:20.890634,-112302.91573513731
394,2023-01-18 13:06:21.090735,-112301.57257734114
