,Time,Value,Factor,Baseline,Mass
0,2023-01-16 16:18:21.046085,-770076,1,0,-770076
1,2023-01-16 16:18:21.247886,-770038,1,0,-770038
2,2023-01-16 16:18:21.455448,-770054,1,0,-770054
3,2023-01-16 16:18:21.830594,-770031,1,0,-770031
4,2023-01-16 16:18:21.854293,-770008,1,0,-770008
5,2023-01-16 16:18:22.186785,-770003,1,0,-770003
6,2023-01-16 16:18:22.376328,-770003,1,0,-770003
7,2023-01-16 16:18:22.575990,-770036,1,0,-770036
8,2023-01-16 16:18:22.822788,-770038,1,0,-770038
9,2023-01-16 16:18:22.944446,-769991,1,0,-769991
10,2023-01-16 16:18:23.201848,-769968,1,0,-769968
11,2023-01-16 16:18:23.412108,-769985,1,0,-769985
12,2023-01-16 16:18:23.634596,-769979,1,0,-769979
13,2023-01-16 16:18:23.728870,-769979,1,0,-769979
14,2023-01-16 16:18:23.984223,-770042,1,0,-770042
15,2023-01-16 16:18:24.165991,-770035,1,0,-770035
16,2023-01-16 16:18:24.465389,-770012,1,0,-770012
17,2023-01-16 16:18:24.525224,-770016,1,0,-770016
18,2023-01-16 16:18:24.744649,-769997,1,0,-769997
19,2023-01-16 16:18:25.042611,-770050,1,0,-770050
20,2023-01-16 16:18:25.198804,-770019,1,0,-770019
21,2023-01-16 16:18:25.403635,-769975,1,0,-769975
22,2023-01-16 16:18:25.601198,-770009,1,0,-770009
23,2023-01-16 16:18:25.745093,-770053,1,0,-770053
24,2023-01-16 16:18:25.966168,-769987,1,0,-769987
25,2023-01-16 16:18:26.238939,-769981,1,0,-769981
26,2023-01-16 16:18:26.348884,-769984,1,0,-769984
27,2023-01-16 16:18:26.462013,-769992,1,0,-769992
28,2023-01-16 16:18:26.667253,-769961,1,0,-769961
29,2023-01-16 16:18:26.860049,-770003,1,0,-770003
30,2023-01-16 16:18:27.067035,-769980,1,0,-769980
31,2023-01-16 16:18:27.264369,-769969,1,0,-769969
32,2023-01-16 16:18:27.467436,-770029,1,0,-770029
33,2023-01-16 16:18:27.667571,-770051,1,0,-770051
34,2023-01-16 16:18:27.868402,-769987,1,0,-769987
35,2023-01-16 16:18:28.066481,-770023,1,0,-770023
36,2023-01-16 16:18:28.264915,-770042,1,0,-770042
37,2023-01-16 16:18:28.468614,-770060,1,0,-770060
38,2023-01-16 16:18:28.666083,-770037,1,0,-770037
39,2023-01-16 16:18:28.862836,-770017,1,0,-770017
40,2023-01-16 16:18:29.065012,-770041,1,0,-770041
41,2023-01-16 16:18:29.266948,-770000,1,0,-770000
42,2023-01-16 16:18:29.463115,-769987,1,0,-769987
43,2023-01-16 16:18:29.666066,-769988,1,0,-769988
44,2023-01-16 16:18:29.869380,-769954,1,0,-769954
45,2023-01-16 16:18:30.066214,-770044,1,0,-770044
46,2023-01-16 16:18:30.271507,-770044,1,0,-770044
47,2023-01-16 16:18:30.462887,-770018,1,0,-770018
48,2023-01-16 16:18:30.671031,-770038,1,0,-770038
49,2023-01-16 16:18:30.874323,-770014,1,0,-770014
50,2023-01-16 16:18:31.071617,-770016,1,0,-770016
51,2023-01-16 16:18:31.274802,-770032,1,0,-770032
52,2023-01-16 16:18:31.466147,-770057,1,0,-770057
53,2023-01-16 16:18:31.666698,-770056,1,0,-770056
54,2023-01-16 16:18:31.863824,-770074,1,0,-770074
55,2023-01-16 16:18:32.064342,-770023,1,0,-770023
56,2023-01-16 16:18:32.265740,-770049,1,0,-770049
57,2023-01-16 16:18:32.470942,-770081,1,0,-770081
58,2023-01-16 16:18:32.730243,-770036,1,0,-770036
59,2023-01-16 16:18:33.082566,-770052,1,0,-770052
60,2023-01-16 16:18:33.190549,-770036,1,0,-770036
61,2023-01-16 16:18:33.486924,-770085,1,0,-770085
62,2023-01-16 16:18:33.541901,-770058,1,0,-770058
63,2023-01-16 16:18:33.790483,-769560,1,0,-769560
64,2023-01-16 16:18:34.060388,-769479,1,0,-769479
65,2023-01-16 16:18:34.086150,-769420,1,0,-769420
66,2023-01-16 16:18:34.422465,-769354,1,0,-769354
67,2023-01-16 16:18:34.526074,-769493,1,0,-769493
68,2023-01-16 16:18:34.699141,-769427,1,0,-769427
69,2023-01-16 16:18:35.024688,-769466,1,0,-769466
70,2023-01-16 16:18:35.214421,-769417,1,0,-769417
71,2023-01-16 16:18:35.403254,-769393,1,0,-769393
72,2023-01-16 16:18:35.657405,-769448,1,0,-769448
73,2023-01-16 16:18:35.873755,-769465,1,0,-769465
74,2023-01-16 16:18:35.954589,-769427,1,0,-769427
75,2023-01-16 16:18:36.166798,-769410,1,0,-769410
76,2023-01-16 16:18:36.343434,-769452,1,0,-769452
77,2023-01-16 16:18:36.591977,-769382,1,0,-769382
78,2023-01-16 16:18:36.828871,-769402,1,0,-769402
79,2023-01-16 16:18:37.004826,-769441,1,0,-769441
80,2023-01-16 16:18:37.165170,-769443,1,0,-769443
81,2023-01-16 16:18:37.392016,-769453,1,0,-769453
82,2023-01-16 16:18:37.538438,-769428,1,0,-769428
83,2023-01-16 16:18:37.816868,-769414,1,0,-769414
84,2023-01-16 16:18:37.983779,-769417,1,0,-769417
85,2023-01-16 16:18:38.166448,-769453,1,0,-769453
86,2023-01-16 16:18:38.411550,-769452,1,0,-769452
87,2023-01-16 16:18:38.600504,-769440,1,0,-769440
88,2023-01-16 16:18:38.833863,-769439,1,0,-769439
89,2023-01-16 16:18:38.993462,-769391,1,0,-769391
90,2023-01-16 16:18:39.260577,-769414,1,0,-769414
91,2023-01-16 16:18:39.366745,-769432,1,0,-769432
92,2023-01-16 16:18:39.478877,-769412,1,0,-769412
93,2023-01-16 16:18:39.683076,-769347,1,0,-769347
94,2023-01-16 16:18:39.886271,-769391,1,0,-769391
95,2023-01-16 16:18:40.077646,-769424,1,0,-769424
96,2023-01-16 16:18:40.292078,-769403,1,0,-769403
97,2023-01-16 16:18:40.481131,-769403,1,0,-769403
98,2023-01-16 16:18:40.682169,-769393,1,0,-769393
99,2023-01-16 16:18:40.887428,-769424,1,0,-769424
100,2023-01-16 16:18:41.092606,-769352,1,0,-769352
101,2023-01-16 16:18:41.292431,-769402,1,0,-769402
102,2023-01-16 16:18:41.493388,-769413,1,0,-769413
103,2023-01-16 16:18:41.694557,-769413,1,0,-769413
104,2023-01-16 16:18:41.895403,-769430,1,0,-769430
105,2023-01-16 16:18:42.090566,-769396,1,0,-769396
106,2023-01-16 16:18:42.292617,-769326,1,0,-769326
107,2023-01-16 16:18:42.489695,-769394,1,0,-769394
108,2023-01-16 16:18:42.696087,-769379,1,0,-769379
109,2023-01-16 16:18:42.896316,-769400,1,0,-769400
110,2023-01-16 16:18:43.091350,-769385,1,0,-769385
111,2023-01-16 16:18:43.290207,-769385,1,0,-769385
112,2023-01-16 16:18:43.491722,-769400,1,0,-769400
113,2023-01-16 16:18:43.695762,-769389,1,0,-769389
114,2023-01-16 16:18:43.897944,-769439,1,0,-769439
115,2023-01-16 16:18:44.097783,-769385,1,0,-769385
116,2023-01-16 16:18:44.293410,-769410,1,0,-769410
117,2023-01-16 16:18:44.496770,-769364,1,0,-769364
118,2023-01-16 16:18:44.696841,-769405,1,0,-769405
119,2023-01-16 16:18:44.894252,-769393,1,0,-769393
120,2023-01-16 16:18:45.101256,-769411,1,0,-769411
121,2023-01-16 16:18:45.294984,-769392,1,0,-769392
122,2023-01-16 16:18:45.496104,-769399,1,0,-769399
123,2023-01-16 16:18:45.697930,-769354,1,0,-769354
124,2023-01-16 16:18:45.901468,-769401,1,0,-769401
125,2023-01-16 16:18:46.101053,-769391,1,0,-769391
126,2023-01-16 16:18:46.298585,-769418,1,0,-769418
127,2023-01-16 16:18:46.495611,-769395,1,0,-769395
