,Time,Value,Factor,Baseline,Mass
0,2023-01-18 12:47:31.966628,-772340,6.700627450980402,0,-115263.83247691156
1,2023-01-18 12:47:32.153736,-772357,6.700627450980402,0,-115266.36955274876
2,2023-01-18 12:47:32.355391,-772390,6.700627450980402,0,-115271.44370442316
3,2023-01-18 12:47:32.559507,-772436,6.700627450980402,0,-115278.15949340402
4,2023-01-18 12:47:32.768009,-772371,6.700627450980402,0,-115268.4589093206
5,2023-01-18 12:47:32.968154,-772342,6.700627450980402,0,-115264.13095642182
6,2023-01-18 12:47:33.159418,-772360,6.700627450980402,0,-115266.81727201416
7,2023-01-18 12:47:33.367712,-772330,6.700627450980402,0,-115262.34007936026
8,2023-01-18 12:47:33.558573,-772328,6.700627450980402,0,-115262.04159985
9,2023-01-18 12:47:33.757420,-772356,6.700627450980402,0,-115266.22031299364
10,2023-01-18 12:47:33.960606,-772336,6.700627450980402,0,-115263.23551789104
11,2023-01-18 12:47:34.168954,-772315,6.700627450980402,0,-115260.25072278843
12,2023-01-18 12:47:34.367829,-772357,6.700627450980402,0,-115266.36955274876
13,2023-01-18 12:47:34.571143,-772365,6.700627450980402,0,-115267.5634707898
14,2023-01-18 12:47:34.757950,-772453,6.700627450980402,0,-115280.69656924122
15,2023-01-18 12:47:34.970862,-772378,6.700627450980402,0,-115269.5035876065
16,2023-01-18 12:47:35.157713,-772373,6.700627450980402,0,-115268.90662858596
17,2023-01-18 12:47:35.372798,-772419,6.700627450980402,0,-115275.6224175668
18,2023-01-18 12:47:35.566229,-772322,6.700627450980402,0,-115261.14616131922
19,2023-01-18 12:47:35.772974,-772336,6.700627450980402,0,-115263.23551789104
20,2023-01-18 12:47:35.961699,-772336,6.700627450980402,0,-115263.23551789104
21,2023-01-18 12:47:36.174393,-772339,6.700627450980402,0,-115263.68323715642
22,2023-01-18 12:47:36.374464,-772335,6.700627450980402,0,-115263.0862781359
23,2023-01-18 12:47:36.567074,-772303,6.700627450980402,0,-115258.31060597175
24,2023-01-18 12:47:36.773903,-772295,6.700627450980402,0,-115257.11668793071
25,2023-01-18 12:47:36.961740,-772319,6.700627450980402,0,-115260.69844205384
26,2023-01-18 12:47:37.176429,-772343,6.700627450980402,0,-115264.28019617694
27,2023-01-18 12:47:37.368288,-772291,6.700627450980402,0,-115256.5197289102
28,2023-01-18 12:47:37.577135,-772298,6.700627450980402,0,-115257.56440719611
29,2023-01-18 12:47:37.775369,-772332,6.700627450980402,0,-115262.63855887052
30,2023-01-18 12:47:37.963766,-772348,6.700627450980402,0,-115265.0263949526
31,2023-01-18 12:47:38.178370,-772394,6.700627450980402,0,-115271.89142368856
32,2023-01-18 12:47:38.371104,-772357,6.700627450980402,0,-115266.51879250388
33,2023-01-18 12:47:38.575950,-772327,6.700627450980402,0,-115261.89236009488
34,2023-01-18 12:47:38.779270,-772378,6.700627450980402,0,-115269.6528273616
35,2023-01-18 12:47:38.967181,-772336,6.700627450980402,0,-115263.38475764616
36,2023-01-18 12:47:39.176408,-772357,6.700627450980402,0,-115266.51879250388
37,2023-01-18 12:47:39.374957,-772386,6.700627450980402,0,-115270.69750564752
38,2023-01-18 12:47:39.578182,-772347,6.700627450980402,0,-115264.87715519746
39,2023-01-18 12:47:39.772844,-772389,6.700627450980402,0,-115271.14522491292
40,2023-01-18 12:47:39.970734,-772357,6.700627450980402,0,-115266.36955274876
41,2023-01-18 12:47:40.179091,-772328,6.700627450980402,0,-115262.04159985
42,2023-01-18 12:47:40.381424,-772378,6.700627450980402,0,-115269.6528273616
43,2023-01-18 12:47:40.572014,-772365,6.700627450980402,0,-115267.5634707898
44,2023-01-18 12:47:40.772809,-772316,6.700627450980402,0,-115260.39996254355
45,2023-01-18 12:47:40.974998,-772433,6.700627450980402,0,-115277.71177413865
46,2023-01-18 12:47:41.183616,-772390,6.700627450980402,0,-115271.29446466804
47,2023-01-18 12:47:41.369505,-772313,6.700627450980402,0,-115259.80300352306
48,2023-01-18 12:47:41.569593,-772313,6.700627450980402,0,-115259.80300352306
49,2023-01-18 12:47:41.774369,-772336,6.700627450980402,0,-115263.23551789104
50,2023-01-18 12:47:41.985179,-772360,6.700627450980402,0,-115266.81727201416
51,2023-01-18 12:47:42.185422,-772344,6.700627450980402,0,-115264.42943593208
52,2023-01-18 12:47:42.382345,-772335,6.700627450980402,0,-115263.0862781359
53,2023-01-18 12:47:42.573881,-772353,6.700627450980402,0,-115265.77259372824
54,2023-01-18 12:47:42.772740,-772365,6.700627450980402,0,-115267.71271054492
55,2023-01-18 12:47:42.977705,-772297,6.700627450980402,0,-115257.41516744098
56,2023-01-18 12:47:43.187335,-772340,6.700627450980402,0,-115263.83247691156
57,2023-01-18 12:47:43.383085,-772295,6.700627450980402,0,-115257.11668793071
58,2023-01-18 12:47:43.588260,-772356,6.700627450980402,0,-115266.22031299364
59,2023-01-18 12:47:43.789148,-772313,6.700627450980402,0,-115259.80300352306
60,2023-01-18 12:47:43.984340,-772315,6.700627450980402,0,-115260.25072278843
61,2023-01-18 12:47:44.188800,-772332,6.700627450980402,0,-115262.63855887052
62,2023-01-18 12:47:44.383146,-772326,6.700627450980402,0,-115261.74312033974
63,2023-01-18 12:47:44.585078,-772359,6.700627450980402,0,-115266.66803225904
64,2023-01-18 12:47:44.788197,-772378,6.700627450980402,0,-115269.5035876065
65,2023-01-18 12:47:44.991190,-772319,6.700627450980402,0,-115260.69844205384
66,2023-01-18 12:47:45.191794,-772409,6.700627450980402,0,-115274.13002001552
