,Time,Value
0,2023-01-16 17:05:16.167915,-767839
1,2023-01-16 17:05:16.372177,-767863
2,2023-01-16 17:05:16.568499,-767864
3,2023-01-16 17:05:16.766983,-767816
4,2023-01-16 17:05:16.967782,-767852
5,2023-01-16 17:05:17.172302,-767781
6,2023-01-16 17:05:17.374256,-767807
7,2023-01-16 17:05:17.563312,-767865
8,2023-01-16 17:05:17.772689,-767776
9,2023-01-16 17:05:17.972605,-767855
10,2023-01-16 17:05:18.172220,-767858
11,2023-01-16 17:05:18.375542,-767836
12,2023-01-16 17:05:18.577664,-767849
13,2023-01-16 17:05:18.770563,-767895
14,2023-01-16 17:05:18.971270,-767823
15,2023-01-16 17:05:19.175283,-767800
16,2023-01-16 17:05:19.376588,-767845
17,2023-01-16 17:05:19.574820,-767830
18,2023-01-16 17:05:19.772688,-767824
19,2023-01-16 17:05:19.965720,-767838
20,2023-01-16 17:05:20.168806,-767826
21,2023-01-16 17:05:20.371404,-767791
22,2023-01-16 17:05:20.570170,-767802
23,2023-01-16 17:05:20.774458,-767857
24,2023-01-16 17:05:20.970822,-767815
25,2023-01-16 17:05:21.170214,-767860
26,2023-01-16 17:05:21.374588,-767891
27,2023-01-16 17:05:21.578558,-767882
28,2023-01-16 17:05:21.781257,-767846
29,2023-01-16 17:05:21.982432,-767793
30,2023-01-16 17:05:22.184053,-767856
31,2023-01-16 17:05:22.381217,-767852
32,2023-01-16 17:05:22.579765,-767872
33,2023-01-16 17:05:22.781227,-767892
34,2023-01-16 17:05:22.981666,-767823
35,2023-01-16 17:05:23.180453,-767816
36,2023-01-16 17:05:23.422249,-767828
37,2023-01-16 17:05:23.586358,-767839
38,2023-01-16 17:05:23.786905,-767827
39,2023-01-16 17:05:23.984165,-767841
40,2023-01-16 17:05:24.184860,-767787
41,2023-01-16 17:05:24.387779,-767849
42,2023-01-16 17:05:24.587471,-767852
43,2023-01-16 17:05:24.787324,-767878
44,2023-01-16 17:05:24.989177,-767862
45,2023-01-16 17:05:25.190282,-767826
46,2023-01-16 17:05:25.384610,-767869
47,2023-01-16 17:05:25.589841,-767840
48,2023-01-16 17:05:25.787038,-767848
49,2023-01-16 17:05:25.991349,-767848
50,2023-01-16 17:05:26.191538,-767846
51,2023-01-16 17:05:26.384475,-767828
52,2023-01-16 17:05:26.584289,-767857
53,2023-01-16 17:05:26.786988,-767825
54,2023-01-16 17:05:26.985075,-767833
55,2023-01-16 17:05:27.186695,-767823
56,2023-01-16 17:05:27.393655,-767815
57,2023-01-16 17:05:27.587389,-767845
58,2023-01-16 17:05:27.789130,-767849
59,2023-01-16 17:05:27.988383,-767798
60,2023-01-16 17:05:28.195047,-767819
61,2023-01-16 17:05:28.395794,-767879
62,2023-01-16 17:05:28.594986,-767839
63,2023-01-16 17:05:28.792616,-767834
64,2023-01-16 17:05:28.992739,-767853
65,2023-01-16 17:05:29.196074,-767837
66,2023-01-16 17:05:29.393292,-767837
67,2023-01-16 17:05:29.596878,-767776
68,2023-01-16 17:05:29.793562,-767812
69,2023-01-16 17:05:29.998455,-767864
70,2023-01-16 17:05:30.195633,-767839
71,2023-01-16 17:05:30.386834,-767831
72,2023-01-16 17:05:30.594451,-767816
73,2023-01-16 17:05:30.799556,-767815
74,2023-01-16 17:05:30.994976,-767854
75,2023-01-16 17:05:31.199408,-767826
76,2023-01-16 17:05:31.398362,-767827
77,2023-01-16 17:05:31.599287,-767846
78,2023-01-16 17:05:31.787926,-767836
79,2023-01-16 17:05:31.993219,-767790
80,2023-01-16 17:05:32.197011,-767833
81,2023-01-16 17:05:32.403172,-767838
82,2023-01-16 17:05:32.600928,-767859
83,2023-01-16 17:05:32.800939,-767870
84,2023-01-16 17:05:32.998215,-767830
85,2023-01-16 17:05:33.203703,-767866
86,2023-01-16 17:05:33.398809,-767815
87,2023-01-16 17:05:33.602318,-767897
88,2023-01-16 17:05:33.805828,-767885
89,2023-01-16 17:05:34.004107,-767868
90,2023-01-16 17:05:34.192780,-767837
91,2023-01-16 17:05:34.407099,-767810
92,2023-01-16 17:05:34.601086,-767854
93,2023-01-16 17:05:34.805462,-767841
94,2023-01-16 17:05:35.008470,-767801
95,2023-01-16 17:05:35.204340,-767823
96,2023-01-16 17:05:35.404883,-767863
97,2023-01-16 17:05:35.603567,-767851
98,2023-01-16 17:05:35.802330,-767838
99,2023-01-16 17:05:36.004864,-767884
100,2023-01-16 17:05:36.209326,-767883
101,2023-01-16 17:05:36.407536,-767825
102,2023-01-16 17:05:36.602887,-767816
103,2023-01-16 17:05:36.803967,-767862
104,2023-01-16 17:05:37.002379,-767766
